titulo;descripcion;comensales;tiempo_minutos;categoria;dificultad;ingredientes;pasos
Receta de Ensalada rusa chilena;La ensalada rusa chilena es un acompañamiento clásico que nunca falta en las mesas familiares, especialmente en celebraciones como asados y fiestas patrias. Esta elaboración se caracteriza por su sencillez, cremosidad y versatilidad, combinando papas, zanahorias y arvejas en un delicioso aderezo.;5;30;Acompañamiento;muy baja;['5 papas', '2 zanahorias', '½ taza de arvejas cocidas', '1 yogur griego (opcional)', '½ taza de mayonesa', 'cilantro', 'sal', 'pimienta'];['Lava y pela las zanahorias y papas.', 'Corta las zanahorias y papas en cubos.', 'En una olla agrega agua, sal, las papas y zanahorias en cubos. Lleva a hervir hasta que esté cocido.', 'Cuando esté cocido, escurre y coloca las papas y zanahorias en un bol.', 'Lava y escurre las arvejas cocidas para retirar el exceso de sal.', 'Agrega las arvejas al bol con los demás ingredientes.', 'Lava y corta cilantro finamente.', 'Agrega la mayonesa y el yogur griego.', 'Sazona al gustoagregando la sal y pimienta.', 'Mezcla bien hasta integrar y lleva a refrigerar.', 'Sirve la ensalada en una fuente y decora con cilantro fresco picado. Sirve fría como acompañamiento de carnes, pescados o platos principales. La ensalada rusa chilena es un plato que combina tradición y practicidad, siendo un infaltable en las reuniones familiares. Si te ha gustado esta receta comparte con nosotros tu opinión y fotografía con el resultado final.']
Receta de Soltero de habas;El soltero de habas es un plato peruano, especialmente popular en las ciudades de Arequipa y Cusco. Esta entrada se caracteriza por ser fresca e incorporar ingredientes andinos como habas, choclo, cebolla, aceitunas y queso fresco, todo sazonado con jugo de limón, vinagre, aceite y sal.;5;30;;baja;['½ cebolla', '1 tomate', '200 gramos de queso fresco', '100 gramos de aceitunas', '200 gramos de habas peladas', '1 choclo', '3 limón', '3 cucharadas soperas de vinagre', 'sal al gusto', 'aceite de oliva c/n', 'perejil picado', 'rocoto picado'];['Comienza picando todas las verduras en dados pequeños. Primero, corta la cebolla por la mitad, retira el extremo por donde crecen los tallos y también retira la capa superior que las recubre. Luego, realiza cortes a lo largo de la cebolla sin llegar al otro extremo. Finalmente, corta la cebolla de forma transversal para obtener dados pequeños.', 'Para el tomate, corta en láminas delgadas y, luego, en tiras finas (juliana). Finalmente, corta las tiras en cubos pequeños del mismo tamaño que la cebolla.', 'Procede de igual manera con el queso fresco, primero en láminas, luego en tiras y, finalmente, en cubos un poco más grandes que la cebolla y el tomate.', 'Para las aceitunas, asegúrate de despepitar y cortar algunas en rodajas para decorar. El resto, córtalas de forma rústica en tiras delgadas o en cuadrados para mantener un tamaño uniforme.', 'Para la estrella del plato, que son las habas, empieza pelándolas. Luego, blanquea sumergiéndolas en agua hirviendo con sal durante unos 2-3 minutos hasta que estén bien cocidas. Inmediatamente después, pásalas a un recipiente con agua helada para detener la cocción y mantener su color verde brillante.', 'Finalmente, desgrana el choclo y blanquéalo en el agua salada en la que blanqueaste las habas. Deja que se cocinen por aproximadamente 4-5 minutos o hasta que los granos estén tiernos. Una vez cocidos, retíralos del agua y colócalos en un bowl junto al resto de los ingredientes.', 'Para terminar, sazona con jugo de limón, vinagre, sal y aceite de oliva. Asegúrate de mezclar bien todos los ingredientes para que se integren y se impregnen del aderezo.', 'Agrega perejil picado y, si te gusta el picante, añade rocoto finamente picado. Sirve esta ensalada peruana en unas bandejas o sobre unas rodajas de papa. ¡A disfrutar de tu solterito de habas! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']
Receta de Ensalada de gulas y gambas;La ensalada de gulas y lechuga es perfecta como entrante, guarnición o como plato único. Una elaboración que también puedes tomar templada o fría, así podrás tenerla preparada con antelación si lo deseas o degustarla justo en el momento. ¡Tan sólo vas a necesitar unos minutos para elaborarla!;4;15;Plato principal;baja;['1 chorro de aceite de oliva', '2 guindillas secas de cayena', '300 gramos de gambas peladas', '300 gramos de gulas', '1 lata de mejillones al natural (de unos 120 g)', '100 gramos de canónigos', '1 granada', '1 pizca de sal'];['Pon en una sartén al fuego un chorrito de aceite de oliva y, cuando esté caliente, añade dos pimientas de cayena secas y deja que se doren a fuego no muy fuerte para aromatizar el aceite de oliva.', 'Cuando las guindillas se hayan dorado, añade las gambas peladas con un poco de sal y ve removiendo de vez en cuando hasta que queden cocinadas, tardará unos 5 minutos dependiendo de su tamaño.', 'Cuando estén cocinadas las gambas, añade las gulas y remueve durante 2 minutos.', 'Escurre la lata de mejillones al natural e incorpora en la sartén junto con las gambas y las gulas, removiendo unas pocas vueltas. Retira del fuego.', 'Añade en el plato los canónigos donde vayas a presentar la ensalada, añade un poco de sal y un chorrito de aceite de oliva.', 'Coloca encima de la cama de canónigos el revuelto de gambas, gulas y mejillones. Desgrana media granada y espolvorea por encima los granos de granada.', 'Si te gusta la ensalada templada de gulas, sírvela enseguida, pero también puedes presentarla fría. Además, si te han sobrado gulas también puedes preparar una deliciosa elaboración de gulas con gambas al ajillo. ¡Buen provecho! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']
Receta de Ensalada rusa argentina;Estamos ante una guarnición típica de las mesas argentinas para las fiestas de Navidad y Año Nuevo, pero que también se disfruta todo el año. La ensalada rusa argentina se prepara rápidamente y con pocos ingredientes, por lo que no necesitas demasiada anticipación. Principalmente debes considerar el tiempo necesario para que esté bien fría.;6;45;Acompañamiento;baja;['2 papas', '1 zanahoria', '½ taza de arvejas', '½ taza de mayonesa', '1 cucharada sopera de mostaza', '1 cucharada sopera de jugo de limón', 'sal y pimienta a gusto'];['Lava y pela las papas, corta en cubos de aproximadamente 1 cm. Cuece en abundante agua hirviendo con sal. Vigila muy bien el tiempo de cocción para que no se pasen, ya que deben conservar la forma y no deshacerse. Cuando estén hechas, cuela y corta la cocción con agua fría. Termina de enfriar en la heladera.', 'También lava y pela la zanahoria. Córtala en cubos del mismo tamaño que las papas y hierve en agua salada. También en este caso, es importante que no se pase el punto de cocción. Cuela y enfría.', 'Hierve también las arvejas hasta su punto justo. Cuélalas, enfríalas y reserva.', 'Mezcla en un recipiente la mayonesa junto con el jugo de limón, la mostaza y la pimienta. Prueba si está a tu gusto o si deseas rectificar algún sabor. También observa la consistencia de la salsa. Si está demasiado espesa, puedes agregar un chorrito de leche, agua o aceite para aligerarla un poco y sea más fácil integrarla con los vegetales.', 'Coloca en un bol grande la papa, la zanahoria y las arvejas. Añade la salsa y mezcla muy bien para que quede todo integrado. Refrigera al menos 1 hora.', 'La ensalada rusa argentina está lista. ¡A comer! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']
Receta de Ensalada de fideos navideña;La ensalada de fideos de colores en Perú es especial para la época navideña no solo por su atractivo colorido, sino también porque es muy fácil de preparar y se puede tener lista con antelación. Además, su versatilidad permite que combine a la perfección con el pavo o el cerdo, que son los protagonistas del banquete.;8;30;;baja;['500 gramos de fideos tornillo', '4 zanahorias', '150 gramos de alverjas', '200 gramos de jamón inglés', '200 gramos de queso edam', '100 gramos de aceitunas verdes (opcional)', '400 gramos de mayonesa', '1 limón', 'sal al gusto', 'aceite de oliva /n'];['Empieza pelando y cortando las zanahorias en dados de 1 cm aproximadamente. Para hacerlo, primero corta los extremos de las zanahorias, luego córtalas en láminas de 1 cm de grosor. Apila estas laminas horizontalmente para cortarlas en bastones y finalmente en dados.', 'Aparte, calienta una olla con abundante agua y un buen puñado de sal. Deja que el agua hierva, luego añade las zanahorias y blanquéalas o déjalas hirviendo durante 3 minutos. Retíralas cuando estén al dente y pásalas por agua helada para cortar la cocción.', 'De igual manera, blanquea las alverjas en el mismo agua y, luego, pásalas por agua helada para mantener su color verde.', 'Vierte más agua a la olla y un puñado de sal. Cuando hierva de nuevo, incorpora la pasta y cocínala hasta que esté al dente. Una vez lista, escúrrela y colócala en un bowl grande. Añade un buen chorro de aceite de oliva y mezcla bien para evitar que se pegue. Deja enfriar.', 'Antes de ensamblar todo, corta el jamón y el queso Edam en cubos grandes. También corta las aceitunas verdes en rodajas, si no las compraste ya listas.', 'Coloca todos los ingredientes en un bowl, mezcla bien y añade mayonesa, jugo de limón y sal al gusto. Asegúrate de hacerlo cuidadosamente para evitar que la pasta se rompa.', 'Agrega un poco de perejil picado y lista la ensalada de fideos tornillo. Tienes la ensalada de fideos y verduras perfecta para el banquete navideño. ¡Buen provecho! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']
Receta de Ensalada blanca navideña;La Navidad en Perú no estaría completa sin la clásica ensalada blanca navideña. Esta ensalada se caracteriza por su variedad de colores, que la hacen atractiva, mientras que sus sabores se complementan entre lo dulce, salado y ácido, aportando frescura y un toque tropical a la Navidad.;10;45;;baja;['2 zanahorias', '200 gramos de alverjas', '300 gramos de jamón ingles de preferencia sin laminar', '3 duraznos', '400 gramos de piña', '100 gramos de pecanas tostadas', '300 gramos de mayonesa', '2 limones', 'perejil picado c/n', 'sal al gusto'];['Para hacer esta típica ensalada navideña, empieza sancochando las papas y las zanahorias. Hiérvelas en abundante agua durante unos 30 minutos o hasta que estén suaves y puedas pincharlas con un palillo. Luego, retíralas inmediatamente del agua, especialmente las papas, para evitar que se abran.', 'Pélalas y córtalas en cubos de aproximadamente 1 a 2 cm. Si prefieres, puedes cortar las zanahorias en cubos más pequeños que las papas. Reserva estos dos ingredientes en un bowl grande.', 'Corta el jamón en cubos del mismo tamaño que las papas y agrégalo al bowl.', 'De igual manera, pica las frutas en conserva, los duraznos y la piña. Corta los duraznos en gajos y, luego, en cubos del mismo tamaño que las papas. Haz lo mismo con las rodajas de piña.', 'Aparte, pon a hervir una olla pequeña con abundante agua y un puñado de sal. Blanquea las arvejas cocinándolas durante 3-5 minutos. Luego, cuélalas y enfríalas inmediatamente en agua helada para mantener su color verde brillante.', 'Por último, pica las pecanas de forma rústica. Asegúrate de que estén bien peladas y tostadas antes de incorporarlas a la ensalada.', 'Para armar la ensalada de papa navideña, mezcla todos los ingredientes en el bowl y añade mayonesa, sal, jugo de limón y perejil finamente picado. Incorpora las pecanas picadas al final para mantenerlas crujientes. Sirve inmediatamente colocándola en la mesa navideña. ¡Buen provecho y Feliz Navidad! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']
Receta de Ensalada de betarraga;La ensalada de betarraga, también conocida como ensalada rusa para los peruanos, se ha convertido en uno de los acompañamientos favoritos en la cena navideña, especialmente para servir junto con el pavo. Sin embargo, su versatilidad y delicioso sabor hacen que se disfrute en cualquier época del año, especialmente junto a un buen pollo al horno, lo más parecido al añorado pavo.;4;45;;baja;['3 papas blancas', '3 zanahorias', '3 betarragas', '2 choclos', '100 arverjas', 'mayonesa c/n', 'sal al gusto', '1 limón'];['Empieza sancochando en una olla grande con abundante agua fría las papas, zanahorias y betarragas. Tapa la olla y deja hervir a fuego medio por al menos 25 minutos hasta que estén completamente suaves. Puedes probar que estén pinchándolas con un palillo de brocheta.', 'Cuando las papas estén suaves, retira del agua para evitar que se revienten y déjalas enfriar por unos minutos. Luego, pélalas y córtalas en cubos medianos de aproximadamente 3 cm. Pela las zanahorias mientras aún están calientes y pícalas en cubos del mismo tamaño o un poco más pequeños.', 'Mientras las betarragas aún están calientes, pélalas y córtalas en cubos del mismo tamaño que las papas o un poco más pequeños. Reserva todos estos ingredientes picados en un bowl de ensalada.', 'Aparte, para blanquear las alverjitas, calienta una olla pequeña con abundante agua con sal. Ni bien rompa hervor, sumérgelas y déjalas por 3 minutos para que se ablanden. Luego, con una espumadera, retíralas del agua caliente y colócalas en agua helada para mantener su color verde brillante.', 'Además, desgrana los choclos y pon los granos en la olla con agua caliente para que se cocinen. Si deseas, puedes agregar azúcar y anís para aromatizarlos. Luego, retíralos y colócalos en el bol con las betarragas.', 'Finalmente, adereza esta ensalada con mayonesa, sal al gusto, limón y un buen puñado de perejil finamente picado. Remueve bien, verifica la sazón y coloca esta fuente colorida en tu mesa navideña junto al tradicional pavo. ¡Buen provecho! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']
Receta de Salpicón chileno;El salpicón es un platillo fresco y versátil, ideal para esos días calurosos o cuando buscas algo ligero y lleno de sabor. Originario de la cocina tradicional, este plato se caracteriza por su combinación de carnes, verduras y aderezos que lo hacen perfecto como entrada o plato principal.;4;30;;media;['500 gramos de carne de vacuno', '100 gramos de choclo o maíz', '200 gramos de zanahorias en cubos', '100 gramos de arevejas', '100 gramos de porotos verdes', 'mayonesa para aderezar', 'sal y pimienta al gusto'];['Picamos la carne en tiras o cubos y sofreímos en sartén por ambos lados hasta lograr un tono dorado. Retiramos del fuego y reservamos.', 'En una olla grande coloca todos los vegetales y cocina hasta que estén tiernos. Retira, cuela y deja enfriar.', 'En un bol grande añade los vegetales una vez fríos y la carne, agrega la mayonesa y adereza con la pimienta y la sal al gusto. Deja reposar en el refrigerador durante al menos 30 minutos para que los sabores se mezclen. ¡A comer! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']
Receta de Ensalada de cochayuyo;El cochayuyo es un alga marina típica de la gastronomía chilena, rica en fibra, minerales y con un sabor único. Esta ensalada de cochayuyo es una opción saludable y deliciosa, ideal como acompañamiento o plato principal para quienes buscan algo ligero pero nutritivo.;4;30;Acompañamiento;muy baja;['100 gramos de cochayuyo seco', 'merquén a gusto', '1 cebolla', 'cilantro al gusto', '1 limón', 'sal a gusto'];['Para cocinar el cochayuyo deja remojando el cochayuyo en agua desde la noche anterior. Córtalo en trocitos y cocina en agua hirviendo por aproximadamente 20 minutos.', 'Pica la cebolla en pluma y luego con la ayuda de un colador lávala apretándola con la mano bajo el chorro de agua fría para amortiguar lo fuerte de su sabor.', 'Pica el cilantro lo más pequeño que puedas.', 'Cuando que el cochayuyo esté cocido, cuélalo y enfríalo bajo el chorro de agua fría. Mezcla con el cilantro, la cebolla y los aliños. ¡Listo! Terminaste una receta demasiado sencilla, nutritiva y sabrosa. Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']
Receta de Ensalada chilena;La ensalada chilena es un plato fresco y vibrante que acompaña a la perfección cualquier comida típica del país. Con su mezcla de tomates jugosos, cebolla crujiente y un toque de cilantro, esta ensalada es ideal para resaltar los sabores de la cocina chilena. Es muy fácil de preparar y perfecta para disfrutar en los días calurosos o como acompañamiento en una parrillada.;4;30;;muy baja;['1 cebolla blanca', '1 tomate', 'cilantro fresco', 'sal y pimienta al gusto', 'aceite para condimentar', 'jugo de medio limón opcional'];['Pela la cebolla y córtala en plumas finas y reserva.', 'Lava bien los tomates y córtalos en gajos o rodajas finas, según tu preferencia.', 'En un bol coloca los tomates cortados, la cebolla y el cilantro picado.Agrega el aceite el jugo de limón, sal y pimienta al gusto.', 'Deja reposar  durante unos 10 minutos para que los sabores se mezclen bien. Acompaña esta fresca y deliciosa ensalada chilena con tus platos favoritos. ¡A comer! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']
