bootcamp_id,modulo_id,puntuacion
1,1,6
1,2,4
1,3,9
1,4,10
1,5,1
1,6,1
1,7,2
2,1,1
2,2,2
2,3,5
2,4,9
2,5,7
2,6,9
2,7,10
3,1,7
3,2,1
3,3,4
3,4,6
3,5,2
3,6,10
3,7,4
4,1,8
4,2,3
4,3,7
4,4,10
4,5,9
4,6,3
4,7,3
5,1,5
5,2,10
5,3,5
5,4,1
5,5,6
5,6,8
5,7,8
6,1,5
6,2,10
6,3,3
6,4,7
6,5,4
6,6,2
6,7,1
7,1,6
7,2,7
7,3,2
7,4,9
7,5,3
7,6,4
7,7,8
8,1,6
8,2,2
8,3,5
8,4,9
8,5,2
8,6,6
8,7,4
9,1,5
9,2,7
9,3,5
9,4,2
9,5,5
9,6,3
9,7,8
10,1,8
10,2,9
10,3,2
10,4,8
10,5,8
10,6,5
10,7,3
11,1,9
11,2,9
11,3,10
11,4,2
11,5,10
11,6,5
11,7,8
12,1,2
12,2,2
12,3,5
12,4,10
12,5,6
12,6,4
12,7,6
13,1,6
13,2,9
13,3,7
13,4,3
13,5,5
13,6,3
13,7,5
14,1,7
14,2,5
14,3,1
14,4,1
14,5,3
14,6,5
14,7,5
15,1,10
15,2,5
15,3,7
15,4,6
15,5,8
15,6,7
15,7,7
16,1,6
16,2,8
16,3,9
16,4,2
16,5,1
16,6,1
16,7,3
17,1,10
17,2,8
17,3,6
17,4,8
17,5,9
17,6,10
17,7,5
18,1,5
18,2,4
18,3,6
18,4,6
18,5,9
18,6,8
18,7,6
19,1,7
19,2,2
19,3,9
19,4,3
19,5,2
19,6,8
19,7,7
20,1,10
20,2,8
20,3,6
20,4,1
20,5,3
20,6,6
20,7,6
21,1,2
21,2,10
21,3,7
21,4,5
21,5,6
21,6,3
21,7,1
22,1,8
22,2,3
22,3,6
22,4,1
22,5,8
22,6,1
22,7,9
23,1,8
23,2,3
23,3,4
23,4,8
23,5,6
23,6,3
23,7,9
24,1,4
24,2,4
24,3,8
24,4,7
24,5,4
24,6,7
24,7,10
25,1,8
25,2,1
25,3,8
25,4,3
25,5,8
25,6,6
25,7,2
26,1,7
26,2,4
26,3,2
26,4,10
26,5,5
26,6,10
26,7,4
27,1,10
27,2,5
27,3,9
27,4,6
27,5,2
27,6,2
27,7,2
28,1,7
28,2,3
28,3,2
28,4,4
28,5,9
28,6,9
28,7,3
29,1,7
29,2,4
29,3,3
29,4,4
29,5,5
29,6,1
29,7,9
30,1,8
30,2,3
30,3,3
30,4,6
30,5,10
30,6,8
30,7,9
31,1,7
31,2,10
31,3,1
31,4,6
31,5,6
31,6,10
31,7,5
32,1,9
32,2,5
32,3,7
32,4,4
32,5,8
32,6,3
32,7,7
33,1,4
33,2,8
33,3,8
33,4,3
33,5,7
33,6,3
33,7,8
34,1,1
34,2,3
34,3,2
34,4,4
34,5,3
34,6,3
34,7,10
35,1,9
35,2,8
35,3,8
35,4,4
35,5,10
35,6,3
35,7,10
36,1,3
36,2,9
36,3,2
36,4,1
36,5,8
36,6,4
36,7,1
37,1,6
37,2,8
37,3,3
37,4,10
37,5,6
37,6,8
37,7,4
38,1,8
38,2,1
38,3,3
38,4,5
38,5,6
38,6,5
38,7,8
39,1,1
39,2,5
39,3,4
39,4,6
39,5,1
39,6,6
39,7,9
40,1,10
40,2,3
40,3,8
40,4,8
40,5,2
40,6,1
40,7,1
41,1,7
41,2,1
41,3,5
41,4,5
41,5,1
41,6,4
41,7,5
42,1,5
42,2,8
42,3,2
42,4,3
42,5,9
42,6,7
42,7,10
43,1,1
43,2,5
43,3,6
43,4,4
43,5,9
43,6,8
43,7,2
44,1,1
44,2,8
44,3,8
44,4,9
44,5,7
44,6,7
44,7,6
45,1,5
45,2,5
45,3,5
45,4,2
45,5,10
45,6,6
45,7,10
46,1,6
46,2,2
46,3,2
46,4,5
46,5,7
46,6,2
46,7,1
47,1,9
47,2,4
47,3,6
47,4,3
47,5,2
47,6,4
47,7,9
48,1,5
48,2,9
48,3,6
48,4,6
48,5,8
48,6,5
48,7,3
49,1,2
49,2,8
49,3,4
49,4,2
49,5,2
49,6,9
49,7,6
50,1,1
50,2,3
50,3,10
50,4,5
50,5,2
50,6,9
50,7,8
